"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","8397912509.09679","8141537937.61068","7905485216.17852","8082364868.39357","8773451738.91129","9549077869.10651","11451869164.7112","13120183156.7149","16674324634.2373","17339992165.2422","19649631314.0482","23963033430.5954","27084497482.8616","30659338880.3786","32996188012.6821","33000198248.3362","33941126200.0606","37508642165.3366","40287647930.4761","40895322843.7851","",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","655420645476.906","559372276081.966","507962487700.024","558319920831.979","669316654017.094","891630177251.068","1107640289615.23","1397084349956.35","1695824565983.2","1667019783585.08","2208871646202.82","2616200980392.16","2465188674415.03","2472806919901.67","2455993625159.37","1802214373741.32","1795700168991.49","2062831045935.95","1885482534238.33","1839758040765.62","",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","3059500000","3054500000","3106500000","3209500000","3444500000","3819500000","4217500000","4674000000","4785000000","4465500000","4530000000","4657500000","4610000000","4677000000","4696500000","4715000000","4830000000","4978000000","5086500000","5209000000","",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","6001153306.2645","5601090584.36122","5843329107.56171","6557333084.60567","7872333215.00414","9531402847.87311","11470703002.0769","12247694247.2298","14393099068.5859","10732366286.2643","13707370737.0737","18525319977.7407","19047940300.8963","18093829923.2737","17098342541.4365","12930394937.8137","11400854267.7188","12128104859.1498","13567351175.0315","13469422958.5105","",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","424464089.897641","461444513.66815","520849551.532606","604041957.921855","682523857.01677","796938120.181406","874989895.601121","1168308516.63301","1227808790.6733","1234014291.82342","1547991317.81183","1777101316.67756","1781281281.57912","1756215665.09323","1907090813.45906","2003598212.99135","2158972129.00307","2450364928.07302","2446866404.93058","2530547157.56678","",
"Botswana","BWA","GDP (current US$)","NY.GDP.MKTP.CD","5788329609.15755","5489608299.66445","5438857106.73536","7511582173.37724","8957467706.5354","9918907108.09702","10137883299.3156","10939053365.4786","10945070441.9283","10267133177.7334","12786654498.3514","15351972361.1477","14380004175.1194","14901750991.2012","16250781586.6579","14420593484.0557","15646354089.458","17405588070.4332","18663265549.0196","18340480936.0444","",
"Central African Republic","CAF","GDP (current US$)","NY.GDP.MKTP.CD","914500299.097034","931833302.752857","991387870.12463","1139754799.16304","1270080250.65268","1337362392.15225","1460561215.4447","1697565948.65323","1985240986.18508","2059094048.26019","2142591375.85053","2437982839.63072","2510126699.05356","1691544192.38242","1894813504.52945","1695825708.45604","1825018190.85071","2072350151.13061","2220978978.17342","2220307368.69593","",
"Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD","742295468318.632","736379777892.562","757950678646.53","892382413817.715","1023196771714.07","1169357979864.66","1315415197461.21","1464977190205.75","1549131208997.19","1371153004986.44","1613464422811.13","1788647906047.76","1828689329348.99","1847208522155.34","1803533209844.65","1556129524418.21","1528243213982.08","1649878054226.82","1716262621082.22","1736425629519.96","",
"Central Europe and the Baltics","CEB","GDP (current US$)","NY.GDP.MKTP.CD","428026479180.405","468573139250.95","527957538526.194","633714239797.637","762523255165.605","886114592647.931","1002191724643.5","1265850852286.09","1531496010447.76","1289523277830.25","1316611736575.83","1449107473075.26","1352688633437.44","1422193604145.12","1464899669967.39","1292086768710.81","1320631381338.53","1463498188698.06","1644435698536.64","1668851928931.89","",
"Switzerland","CHE","GDP (current US$)","NY.GDP.MKTP.CD","272055499763.145","278631271628.348","301416809957.654","352914820672.756","394163688781.665","408689354320.591","430921192375.179","479913033988.67","554363487212.63","541506500321.662","583782978345.834","699579638413.011","668043613696.287","688504173431.454","709182559935.301","679832292004.984","671309197478.183","679950481622.843","705140620046.7","703082435158.864","",
