"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","2019",
"Pacific island small states","PSS","GDP (current US$)","NY.GDP.MKTP.CD","10456001896.8144",
"Post-demographic dividend","PST","GDP (current US$)","NY.GDP.MKTP.CD","50671271399767.3",
"French Polynesia","PYF","GDP (current US$)","NY.GDP.MKTP.CD","",
"Qatar","QAT","GDP (current US$)","NY.GDP.MKTP.CD","183466208791.209",
"Romania","ROU","GDP (current US$)","NY.GDP.MKTP.CD","250077444017.084",
"Russian Federation","RUS","GDP (current US$)","NY.GDP.MKTP.CD","1699876578871.35",
"Rwanda","RWA","GDP (current US$)","NY.GDP.MKTP.CD","10122472590.172",
"South Asia","SAS","GDP (current US$)","NY.GDP.MKTP.CD","3597970348647.58",
"Saudi Arabia","SAU","GDP (current US$)","NY.GDP.MKTP.CD","792966838161.659",
"Sudan","SDN","GDP (current US$)","NY.GDP.MKTP.CD","18902284475.6054",
"Senegal","SEN","GDP (current US$)","NY.GDP.MKTP.CD","23578084052.0147",
"Singapore","SGP","GDP (current US$)","NY.GDP.MKTP.CD","372062527488.638",
"Solomon Islands","SLB","GDP (current US$)","NY.GDP.MKTP.CD","1425074225.77798",
"Sierra Leone","SLE","GDP (current US$)","NY.GDP.MKTP.CD","3941474310.76913",
"El Salvador","SLV","GDP (current US$)","NY.GDP.MKTP.CD","27022640000",
"San Marino","SMR","GDP (current US$)","NY.GDP.MKTP.CD","",
"Somalia","SOM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Serbia","SRB","GDP (current US$)","NY.GDP.MKTP.CD","51409167350.7548",
"Sub-Saharan Africa (excluding high income)","SSA","GDP (current US$)","NY.GDP.MKTP.CD","1739115379284.58",
"South Sudan","SSD","GDP (current US$)","NY.GDP.MKTP.CD","",
"Sub-Saharan Africa","SSF","GDP (current US$)","NY.GDP.MKTP.CD","1755011419750.85",
"Small states","SST","GDP (current US$)","NY.GDP.MKTP.CD","525221276646.776",
"Sao Tome and Principe","STP","GDP (current US$)","NY.GDP.MKTP.CD","429016605.208205",
"Suriname","SUR","GDP (current US$)","NY.GDP.MKTP.CD","3985250737.46313",
"Slovak Republic","SVK","GDP (current US$)","NY.GDP.MKTP.CD","105422304975.576",
"Slovenia","SVN","GDP (current US$)","NY.GDP.MKTP.CD","53742159516.9278",
"Sweden","SWE","GDP (current US$)","NY.GDP.MKTP.CD","530832908737.862",
"Eswatini","SWZ","GDP (current US$)","NY.GDP.MKTP.CD","4405405802.44294",
"Sint Maarten (Dutch part)","SXM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Seychelles","SYC","GDP (current US$)","NY.GDP.MKTP.CD","1698843062.76141",
"Syrian Arab Republic","SYR","GDP (current US$)","NY.GDP.MKTP.CD","",
"Turks and Caicos Islands","TCA","GDP (current US$)","NY.GDP.MKTP.CD","",
"Chad","TCD","GDP (current US$)","NY.GDP.MKTP.CD","11314951342.7807",
"East Asia & Pacific (IDA & IBRD countries)","TEA","GDP (current US$)","NY.GDP.MKTP.CD","17181503825380.8",
"Europe & Central Asia (IDA & IBRD countries)","TEC","GDP (current US$)","NY.GDP.MKTP.CD","4142093595765.05",
"Togo","TGO","GDP (current US$)","NY.GDP.MKTP.CD","5459979416.66908",
"Thailand","THA","GDP (current US$)","NY.GDP.MKTP.CD","543649976165.63",
"Tajikistan","TJK","GDP (current US$)","NY.GDP.MKTP.CD","8116626794.25837",
"Turkmenistan","TKM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","GDP (current US$)","NY.GDP.MKTP.CD","5474751287356.85",
"Timor-Leste","TLS","GDP (current US$)","NY.GDP.MKTP.CD","1673540300",
"Middle East & North Africa (IDA & IBRD countries)","TMN","GDP (current US$)","NY.GDP.MKTP.CD","",
"Tonga","TON","GDP (current US$)","NY.GDP.MKTP.CD","",
"South Asia (IDA & IBRD)","TSA","GDP (current US$)","NY.GDP.MKTP.CD","3597970348647.58",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","GDP (current US$)","NY.GDP.MKTP.CD","1755011419750.84",
"Trinidad and Tobago","TTO","GDP (current US$)","NY.GDP.MKTP.CD","24100202833.7504",
"Tunisia","TUN","GDP (current US$)","NY.GDP.MKTP.CD","38797709923.6641",
"Turkey","TUR","GDP (current US$)","NY.GDP.MKTP.CD","754411708202.616",
"Tuvalu","TUV","GDP (current US$)","NY.GDP.MKTP.CD","47271463.3298575",
"Tanzania","TZA","GDP (current US$)","NY.GDP.MKTP.CD","63177068174.549",
"Uganda","UGA","GDP (current US$)","NY.GDP.MKTP.CD","34387229486.4008",
"Ukraine","UKR","GDP (current US$)","NY.GDP.MKTP.CD","153781069118.148",
"Upper middle income","UMC","GDP (current US$)","NY.GDP.MKTP.CD","25817130358727.9",
"Uruguay","URY","GDP (current US$)","NY.GDP.MKTP.CD","56045912952.342",
"United States","USA","GDP (current US$)","NY.GDP.MKTP.CD","21374418877706.7",
"Uzbekistan","UZB","GDP (current US$)","NY.GDP.MKTP.CD","57921286440.3495",
"St. Vincent and the Grenadines","VCT","GDP (current US$)","NY.GDP.MKTP.CD","825385185.185185",
"Venezuela, RB","VEN","GDP (current US$)","NY.GDP.MKTP.CD","",
"British Virgin Islands","VGB","GDP (current US$)","NY.GDP.MKTP.CD","",
"Virgin Islands (U.S.)","VIR","GDP (current US$)","NY.GDP.MKTP.CD","",
"Vietnam","VNM","GDP (current US$)","NY.GDP.MKTP.CD","261921244843.172",
"Vanuatu","VUT","GDP (current US$)","NY.GDP.MKTP.CD","917058850.816563",
"World","WLD","GDP (current US$)","NY.GDP.MKTP.CD","87697518999809",
"Samoa","WSM","GDP (current US$)","NY.GDP.MKTP.CD","850655017.220488",
"Kosovo","XKX","GDP (current US$)","NY.GDP.MKTP.CD","7926108374.38424",
"Yemen, Rep.","YEM","GDP (current US$)","NY.GDP.MKTP.CD","",
"South Africa","ZAF","GDP (current US$)","NY.GDP.MKTP.CD","351431649241.439",
"Zambia","ZMB","GDP (current US$)","NY.GDP.MKTP.CD","23064722446.3513",
"Zimbabwe","ZWE","GDP (current US$)","NY.GDP.MKTP.CD","21440758800",
